Day_of_Year,Month,Day,Month_Name,Daily_Average_kWh,Daily_Std_kWh,Daily_Min_kWh,Daily_Max_kWh,Year_2021_kWh,Year_2022_kWh
1,1,1,January,374.8301519,530.0898844,0,749.6603038,749.6603038,0
2,1,2,January,794.0776744,,794.0776744,794.0776744,794.0776744,
3,1,3,January,572.0586012,,572.0586012,572.0586012,572.0586012,
4,1,4,January,736.6590012,,736.6590012,736.6590012,736.6590012,
5,1,5,January,570.1963334,,570.1963334,570.1963334,570.1963334,
6,1,6,January,548.5186057,,548.5186057,548.5186057,548.5186057,
7,1,7,January,622.2894012,,622.2894012,622.2894012,622.2894012,
8,1,8,January,702.8168952,,702.8168952,702.8168952,702.8168952,
9,1,9,January,643.6088426,,643.6088426,643.6088426,643.6088426,
10,1,10,January,533.6681167,,533.6681167,533.6681167,533.6681167,
11,1,11,January,613.6596662,,613.6596662,613.6596662,613.6596662,
12,1,12,January,469.1976371,,469.1976371,469.1976371,469.1976371,
13,1,13,January,320.1254316,,320.1254316,320.1254316,320.1254316,
14,1,14,January,460.3110333,,460.3110333,460.3110333,460.3110333,
15,1,15,January,739.027477,,739.027477,739.027477,739.027477,
16,1,16,January,606.0725253,,606.0725253,606.0725253,606.0725253,
17,1,17,January,266.6145767,,266.6145767,266.6145767,266.6145767,
18,1,18,January,318.3022115,,318.3022115,318.3022115,318.3022115,
19,1,19,January,458.0892561,,458.0892561,458.0892561,458.0892561,
20,1,20,January,505.7195243,,505.7195243,505.7195243,505.7195243,
21,1,21,January,769.0936361,,769.0936361,769.0936361,769.0936361,
22,1,22,January,604.11701,,604.11701,604.11701,604.11701,
23,1,23,January,473.4767685,,473.4767685,473.4767685,473.4767685,
24,1,24,January,584.6979417,,584.6979417,584.6979417,584.6979417,
25,1,25,January,633.309148,,633.309148,633.309148,633.309148,
26,1,26,January,613.5648413,,613.5648413,613.5648413,613.5648413,
27,1,27,January,557.1193934,,557.1193934,557.1193934,557.1193934,
28,1,28,January,628.1248875,,628.1248875,628.1248875,628.1248875,
